順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
51,3287,東証,星野リゾート・リート投資法人,09:33,"546,000",2020/04,"26,474.00",4.85%,掲示板
52,8558,東証1部,(株)東和銀行,09:28,825,2020/03,40.00,4.85%,掲示板
53,2674,東証1部,(株)ハードオフコーポレーション,09:29,826,2020/03,40.00,4.84%,掲示板
54,7480,東証1部,スズデン(株),09:32,"1,445",2020/03,70.00,4.84%,掲示板
55,5857,東証1部,アサヒホールディングス(株),09:33,"2,692",2020/03,130.00,4.83%,掲示板
56,6178,東証1部,日本郵政(株),09:33,"1,035",2020/03,50.00,4.83%,掲示板
57,7494,東証1部,(株)コナカ,09:27,416,2020/09,20.00,4.81%,掲示板
58,8869,東証1部,明和地所(株),09:28,624,2020/03,30.00,4.81%,掲示板
59,2768,東証1部,双日(株),09:34,354,2020/03,17.00,4.80%,掲示板
60,1451,東証2部,(株)ＫＨＣ,09:34,919,2020/03,44.00,4.79%,掲示板
61,3453,東証,ケネディクス商業リート投資法人,09:33,"271,500",2020/03,"13,007.00",4.79%,掲示板
62,7236,東証1部,(株)ティラド,09:30,"1,880",2020/03,90.00,4.79%,掲示板
63,7711,東証JQS,助川電気工業(株),09:29,606,2020/09,29.00,4.79%,掲示板
64,8349,東証1部,(株)東北銀行,09:00,"1,045",2020/03,50.00,4.78%,掲示板
65,3459,東証,サムティ・レジデンシャル投資法人,09:33,"112,400",2020/07,"5,360.00",4.77%,掲示板
66,7182,東証1部,(株)ゆうちょ銀行,09:33,"1,049",2020/03,50.00,4.77%,掲示板
67,4004,東証1部,昭和電工(株),09:34,"2,729",2019/12,130.00,4.76%,掲示板
68,7161,東証1部,(株)じもとホールディングス,09:30,105,2020/03,5.00,4.76%,掲示板
69,8542,東証1部,(株)トマト銀行,09:21,"1,051",2020/03,50.00,4.76%,掲示板
70,9110,東証1部,ＮＳユナイテッド海運(株),09:26,"1,998",2020/03,95.00,4.75%,掲示板
71,7211,東証1部,三菱自動車(株),09:32,422,2020/03,20.00,4.74%,掲示板
72,1878,東証1部,大東建託(株),09:34,"13,035",2020/03,616.00,4.73%,掲示板
73,8053,東証1部,住友商事(株),09:33,"1,690",2020/03,80.00,4.73%,掲示板
74,5301,東証1部,東海カーボン(株),09:32,"1,016",2019/12,48.00,4.72%,掲示板
75,8713,東証1部,フィデアホールディングス(株),09:26,127,2020/03,6.00,4.72%,掲示板
76,8964,東証,フロンティア不動産投資法人,09:26,"448,000",2020/06,"21,160.00",4.72%,掲示板
77,4927,東証1部,(株)ポーラ・オルビスホールディングス,09:33,"2,467",2019/12,116.00,4.70%,掲示板
78,7991,東証2部,マミヤ・オーピー(株),09:16,"1,065",2020/03,50.00,4.69%,掲示板
79,8563,東証1部,(株)大東銀行,09:28,639,2020/03,30.00,4.69%,掲示板
80,8586,東証1部,日立キャピタル(株),09:33,"3,205",2020/03,150.00,4.68%,掲示板
81,1961,東証1部,三機工業(株),09:33,"1,501",2020/03,70.00,4.66%,掲示板
82,7537,東証1部,丸文(株),09:33,644,2020/03,30.00,4.66%,掲示板
83,7844,東証1部,(株)マーベラス,09:31,708,2020/03,33.00,4.66%,掲示板
84,6393,東証1部,油研工業(株),09:28,"1,722",2020/03,80.00,4.65%,掲示板
85,7722,東証JQS,国際計測器(株),09:04,754,2020/03,35.00,4.64%,掲示板
86,2124,東証1部,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,09:34,"1,728",2019/12,80.00,4.63%,掲示板
87,3245,東証1部,(株)ディア・ライフ,09:33,605,2020/09,28.00,4.63%,掲示板
88,3455,東証,ヘルスケア＆メディカル投資法人,09:33,"136,300",2020/07,"6,300.00",4.62%,掲示板
89,1887,東証1部,日本国土開発(株),09:34,607,2020/05,28.00,4.61%,掲示板
90,3478,東証,森トラスト・ホテルリート投資法人,09:32,"148,400",2020/02,"6,820.00",4.60%,掲示板
91,6301,東証1部,コマツ,09:33,"2,389",2020/03,110.00,4.60%,掲示板
92,5020,東証1部,ＪＸＴＧホールディングス(株),09:33,480.5,2020/03,22.00,4.58%,掲示板
93,7173,東証1部,(株)東京きらぼしフィナンシャルグループ,09:31,"1,311",2020/03,60.00,4.58%,掲示板
94,7433,東証1部,伯東(株),09:32,"1,313",2020/03,60.00,4.57%,掲示板
95,8411,東証1部,(株)みずほフィナンシャルグループ,09:33,164.1,2020/03,7.50,4.57%,掲示板
96,5214,東証1部,日本電気硝子(株),09:32,"2,199",2020/12,100.00,4.55%,掲示板
97,6317,東証1部,(株)北川鉄工所,09:28,"2,198",2020/03,100.00,4.55%,掲示板
98,7523,東証JQS,アールビバン(株),09:30,660,2020/03,30.00,4.55%,掲示板
99,8316,東証1部,(株)三井住友フィナンシャルグループ,09:33,"3,955",2020/03,180.00,4.55%,掲示板
100,9810,東証1部,日鉄物産(株),09:32,"4,840",2020/03,220.00,4.55%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
