順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
1,7404,東証2部,昭和飛行機工業(株),09:19,"2,125",2020/03,636.00,29.93%,掲示板
2,6810,東証1部,マクセルホールディングス(株),09:21,"1,466",2020/03,286.00,19.51%,掲示板
3,8103,東証1部,明和産業(株),09:22,609,2020/03,56.00,9.20%,掲示板
4,8219,東証1部,青山商事(株),09:21,"1,427",2020/03,100.00,7.01%,掲示板
5,2914,東証1部,ＪＴ,09:22,"2,303.5",2020/12,154.00,6.69%,掲示板
6,7224,東証1部,新明和工業(株),09:21,"1,339",2020/03,87.00,6.50%,掲示板
7,8963,東証,インヴィンシブル投資法人,09:21,"55,700",2020/06,"3,459.00",6.21%,掲示板
8,6464,東証1部,(株)ツバキ・ナカシマ,09:22,"1,341",2019/12,81.00,6.04%,掲示板
9,2411,東証JQS,ゲンダイエージェンシー(株),09:00,419,2020/03,25.00,5.97%,掲示板
10,7148,東証1部,(株)ＦＰＧ,09:22,"1,008",2020/09,60.10,5.96%,掲示板
11,2121,マザーズ,(株)ミクシィ,09:21,"1,908",2020/03,110.00,5.77%,掲示板
12,3242,東証JQS,(株)アーバネットコーポレーション,09:20,353,2020/06,20.00,5.67%,掲示板
13,5019,東証1部,出光興産(株),09:22,"2,823",2020/03,160.00,5.67%,掲示板
14,9904,東証2部,(株)ベリテ,09:19,354,2020/03,19.94,5.63%,掲示板
15,9434,東証1部,ソフトバンク(株),09:22,"1,512.5",2020/03,85.00,5.62%,掲示板
16,3271,東証1部,(株)ＴＨＥグローバル社,09:18,458,2020/06,25.00,5.46%,掲示板
17,6032,東証1部,(株)インターワークス,09:21,549,2020/03,30.00,5.46%,掲示板
18,3470,東証,マリモ地方創生リート投資法人,09:15,"129,900",2020/06,"6,970.00",5.37%,掲示板
19,3476,東証,投資法人みらい,09:20,"60,100",2020/04,"3,170.00",5.27%,掲示板
20,5302,東証1部,日本カーボン(株),09:22,"3,805",2019/12,200.00,5.26%,掲示板
21,3451,東証,トーセイ・リート投資法人,09:22,"135,200",2020/04,"7,100.00",5.25%,掲示板
22,7442,東証1部,中山福(株),09:00,516,2020/03,27.00,5.23%,掲示板
23,6257,東証JQS,(株)藤商事,09:17,960,2020/03,50.00,5.21%,掲示板
24,5707,東証1部,東邦亜鉛(株),09:21,"1,936",2020/03,100.00,5.17%,掲示板
25,7245,東証1部,大同メタル工業(株),09:21,677,2020/03,35.00,5.17%,掲示板
26,2971,東証,エスコンジャパンリート投資法人,09:20,"130,900",2020/07,"6,753.00",5.16%,掲示板
27,3492,東証,タカラレーベン不動産投資法人,09:21,"130,600",2020/02,"6,740.00",5.16%,掲示板
28,4188,東証1部,(株)三菱ケミカルホールディングス,09:22,778.2,2020/03,40.00,5.14%,掲示板
29,6461,東証1部,日本ピストンリング(株),09:21,"1,466",2020/03,75.00,5.12%,掲示板
30,5015,東証1部,ビーピー・カストロール(株),09:17,"1,469",2019/12,75.00,5.11%,掲示板
31,8304,東証1部,(株)あおぞら銀行,09:21,"3,065",2020/03,156.00,5.09%,掲示板
32,6486,東証1部,イーグル工業(株),09:20,988,2020/03,50.00,5.06%,掲示板
33,7270,東証1部,(株)ＳＵＢＡＲＵ,09:22,"2,845.5",2020/03,144.00,5.06%,掲示板
34,8835,東証1部,太平洋興発(株),09:00,792,2020/03,40.00,5.05%,掲示板
35,9268,東証2部,(株)オプティマスグループ,09:02,951,2020/03,48.00,5.05%,掲示板
36,8985,東証,ジャパン・ホテル・リート投資法人,09:21,"74,400",2020/12,"3,750.00",5.04%,掲示板
37,3472,東証,大江戸温泉リート投資法人,09:19,"92,200",2020/05,"4,640.00",5.03%,掲示板
38,7837,東証JQS,(株)アールシーコア,09:00,"1,004",2020/03,50.00,4.98%,掲示板
39,8628,東証1部,松井証券(株),09:22,904,2020/03,45.00,4.98%,掲示板
40,7822,東証1部,永大産業(株),09:20,342,2020/03,17.00,4.97%,掲示板
41,3284,東証1部,(株)フージャースホールディングス,09:20,706,2020/03,35.00,4.96%,掲示板
42,6306,東証1部,日工(株),09:20,811,2020/03,40.00,4.93%,掲示板
43,7214,東証1部,ＧＭＢ(株),02/06,811,2020/03,40.00,4.93%,掲示板
44,8737,東証2部,(株)あかつき本社,09:21,365,2020/03,18.00,4.93%,掲示板
45,8887,東証JQS,リベレステ(株),09:19,915,2020/05,45.00,4.92%,掲示板
46,8091,東証1部,ニチモウ(株),09:00,"2,036",2020/03,100.00,4.91%,掲示板
47,8185,東証1部,(株)チヨダ,09:22,"1,512",2020/02,74.00,4.89%,掲示板
48,2674,東証1部,(株)ハードオフコーポレーション,09:14,821,2020/03,40.00,4.87%,掲示板
49,3468,東証,スターアジア不動産投資法人,09:22,"113,700",2020/07,"5,540.00",4.87%,掲示板
50,5410,東証1部,合同製鐵(株),09:18,"2,981",2020/03,145.00,4.86%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
